code,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30
sh.600028,59.32203389830512,61.90476190476195,83.92857142857144,85.71428571428572,89.2857142857143,83.3333333333333,64.48598130841124,60.71428571428568,63.63636363636363,50.66666666666665,46.753246753246735,45.85987261146497,46.202531645569614,41.95402298850574,45.4054054054054,38.888888888888886,37.305699481865275,32.500000000000014,29.319371727748674,29.473684210526315,35.83815028901732,40.67796610169493,44.444444444444436,51.533742331288344,55.06329113924052,53.37423312883437,59.5744680851064,68.6046511627907,51.96078431372549,63.5514018691589,59.375000000000014,64.18604651162792,54.88372093023256,56.45933014354067,52.83018867924528,52.15311004784689,44.26229508196721,46.7391304347826,45.6043956043956,45.355191256830594,33.757961783439484,30.92105263157896,36.434108527131784,16.504854368932044
sh.600030,32.06521739130433,35.542168674698715,49.48453608247424,37.354085603112836,39.506172839506185,36.44067796610164,48.03149606299209,56.95364238410595,47.81250000000004,54.2319749216301,49.480968858131526,50.17543859649119,50.352112676056336,50.889679715302506,49.310344827586164,54.770318021201405,45.736434108527085,61.61616161616161,61.99999999999999,69.19831223628691,62.13592233009708,50.63291139240505,84.92647058823519,85.66433566433557,90.19138755980855,93.76947040498439,96.04072398190044,97.64808362369335,98.5605419136325,80.61581525542336,81.83687457162439,77.98165137614677,74.34292866082602,72.24669603524228,71.34866376631447,74.13019079685745,69.80906921241049,69.57306073361394,66.51524983776767,59.479553903345725,51.339285714285715,35.68904593639576,31.25,47.56302521008404
sh.600031,45.810055865921846,47.12643678160922,63.87434554973816,64.24870466321241,70.71823204419883,72.19251336898395,61.80904522613065,68.05555555555556,73.12775330396472,83.57487922705307,79.21348314606746,80.97826086956529,64.08839779005527,42.750929368029716,43.79562043795616,50.34013605442176,41.379310344827594,36.82310469314073,46.808510638297854,43.491124260355,49.54682779456191,51.734104046242734,54.864864864864906,54.371584699453564,60.194174757281544,64.88222698072805,75.32228360957643,91.14173228346455,70.24539877300612,71.84325108853409,66.08811748998664,71.07231920199501,65.56122448979593,65.98202824133506,61.66253101736973,61.0831234256927,57.03225806451613,57.0876288659794,53.45997286295793,47.28571428571429,37.983193277310924,36.15916955017299,46.96629213483146,36.45569620253166
sh.600036,56.29453681710216,63.281249999999986,69.70443349753698,77.7479892761395,78.80434782608708,76.11940298507467,58.108108108108134,50.3512880562061,49.88399071925752,47.35682819383262,32.05128205128206,23.43324250681198,18.5507246376811,13.18181818181823,13.776722090261316,12.206572769953183,6.7331670822943295,13.225058004640431,22.736842105263165,21.513944223107586,27.334851936218712,40.64039408866997,60.75268817204302,70.11128775834655,77.68595041322314,80.1360544217687,84.26724137931033,95.77861163227017,75.07352941176468,78.4352399737015,76.69270833333334,77.47010698552549,72.7945712523134,75.6501182033097,71.1959573273442,71.37276785714286,67.46031746031747,66.00765306122452,64.32396251673362,62.23404255319151,55.614167294649604,43.54275741710297,59.298245614035146,44.37086092715234
sh.600048,30.201342281879207,38.29787234042557,37.76223776223779,27.04918032786884,24.812030075187963,22.695035460992912,18.65671641791043,45.205479452054774,38.82352941176468,41.91616766467064,35.91160220994472,39.572192513368975,37.56345177664974,37.37373737373737,38.947368421052616,37.967914438502646,38.58695652173911,34.48275862068965,44.91017964071855,55.37634408602152,58.50000000000003,48.76543209876546,61.11111111111114,63.15789473684211,82.87037037037038,87.58389261744968,93.04123711340208,95.75596816976132,75.52301255230128,75.92592592592594,77.27272727272728,79.60644007155636,79.5698924731183,80.20833333333334,66.96562032884904,67.54772393538914,68.47360912981456,68.82933709449931,64.49044585987261,56.17173524150269,46.521739130434796,49.159663865546214,59.240506329113906,58.29015544041451
sh.600050,52.702702702702716,50.0,60.31746031746031,67.85714285714289,71.42857142857139,67.85714285714289,63.33333333333335,65.51724137931032,63.79310344827587,64.40677966101694,63.157894736842074,37.209302325581326,26.31578947368419,24.390243902438982,26.19047619047612,22.916666666666615,16.666666666666544,16.666666666666544,14.893617021276668,15.217391304347856,24.324324324324465,27.272727272727423,56.60377358490567,61.01694915254235,67.60563380281687,75.36231884057963,84.90566037735842,91.59663865546216,69.67741935483869,76.30057803468205,66.66666666666666,68.57142857142856,65.59633027522935,65.89861751152074,62.94642857142858,64.52991452991452,60.747663551401864,58.252427184466015,55.44041450777201,52.02020202020203,40.993788819875775,37.500000000000014,47.50000000000002,31.1320754716981
sh.600089,27.710843373494,25.5555555555556,27.544910179640752,26.219512195122007,16.145833333333357,22.335025380710704,25.906735751295315,33.488372093023244,30.63829787234043,38.59649122807019,33.636363636363626,34.70319634703196,33.77777777777777,32.61802575107295,32.0675105485232,36.744186046511615,39.069767441860485,32.258064516129025,41.530054644808715,41.20879120879118,40.88397790055247,29.878048780487788,53.33333333333332,56.47668393782385,65.33333333333336,72.34042553191493,81.47138964577661,88.32891246684355,67.40890688259108,69.03846153846155,64.13043478260869,66.17100371747212,60.869565217391305,57.97598627787306,54.85996705107085,58.24175824175823,56.17792421746292,54.761904761904745,57.710651828298886,50.082372322899495,49.16107382550334,43.972835314091675,58.672376873661676,52.57510729613734
sh.600104,6.451612903225822,6.481481481481509,19.105691056910587,20.34632034632037,19.915254237288153,19.028340080971674,20.88888888888893,22.429906542056088,19.67213114754098,24.77064220183489,18.721461187214615,25.133689839572213,29.648241206030136,30.729166666666657,26.45739910313901,29.665071770334947,15.183246073298449,15.183246073298449,25.74257425742573,30.645161290322577,31.74603174603172,32.460732984293216,51.61290322580647,57.74647887323944,71.32075471698114,74.14965986394557,80.36175710594316,84.53865336658352,68.07228915662651,69.88636363636363,68.58736059479554,69.62264150943396,62.90909090909091,61.11111111111111,58.075601374570454,59.99999999999999,55.98650927487353,54.84429065743944,52.110091743119256,46.368715083798875,35.714285714285694,33.02325581395347,45.367412140575084,37.328767123287655
sh.600150,30.936454849498375,31.333333333333286,41.777777777777814,41.387024608501044,37.1717171717171,51.46443514644353,58.43230403800479,54.065934065934044,17.38484398216933,17.01492537313426,15.885022692889535,16.406249999999957,13.43042071197408,14.98194945848374,12.290502793296042,11.797752808988818,12.185686653771782,12.01550387596906,13.27623126338338,22.264875239923256,16.111111111111143,17.27672035139092,51.555555555555564,65.45166402535659,67.70370370370371,72.22929936305734,80.58771148708817,82.91536050156739,66.49905719673161,70.20681945220795,64.27840327533264,64.6403242147923,60.79085278704145,58.467741935483865,62.03208556149732,63.4961439588689,60.95704187058185,56.490384615384606,55.961070559610704,49.39024390243902,36.39846743295018,30.89092422980852,40.108108108108134,27.10526315789474
sh.600276,52.77777777777778,61.16751269035534,56.2905317769131,52.64516129032261,59.97248968363139,56.62824207492797,62.49999999999999,53.799392097264445,60.512820512820475,66.35220125786162,63.22795341098168,64.92063492063492,69.43972835314088,69.49152542372877,68.35871404399317,64.3129770992366,62.52319109461966,63.70510396975426,64.1791044776119,63.94052044609666,38.248175182481745,39.33933933933932,48.37398373983738,44.62209302325585,60.33934252386004,66.48745519713263,77.85613540197463,82.29988726042843,66.36363636363637,66.27164995442116,60.96436058700211,63.32528180354268,60.838607594936725,57.863054928517684,63.378545006165226,65.18171160609613,63.95631067961166,63.98544866612772,59.53132041460117,49.97726239199636,38.70798319327731,26.695979899497488,35.41666666666667,27.791563275434243
