code,sh.600028,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600089,sh.600104,sh.600150,sh.600276,sh.600309,sh.600406,sh.600436,sh.600438,sh.600690,sh.600809,sh.600887,sh.600900,sh.600941,sh.601012,sh.601088,sh.601166,sh.601225,sh.601288,sh.601318,sh.601328,sh.601390,sh.601398,sh.601601,sh.601628,sh.601633,sh.601658,sh.601668,sh.601669,sh.601728,sh.601857,sh.601888,sh.601899,sh.601919,sh.601985,sh.601988,sh.603259,sh.603288,sh.603501,sh.603986,sh.688012,sh.688041,sh.688111,sh.688981
sh.601601,12405387340.0,34167093920.0,7796136807.0,11793194770.0,44016842247.0,32688955025.0,3579932964.0,7711191515.0,2939318849.0,3059580125.0,6972239724.0,3016758849.0,7747360527.0,5829100843.0,4253277364.0,6585879047.0,24612507810.0,5727608186.0,7188176484.0,21678591620.0,7027915028.0,6457450552.0,6587944450.0,101560811220.0,15933657611.0,27398524457.0,21884298132.0,46862139831.0,0.0,4170596254.0,3461411051.0,36936562900.0,58741721682.0,33705429785.0,10619393620.0,12247232820.0,6634826993.0,18237210894.0,17456288404.0,29475494804.0,17853049619.0,7336472514.0,3987337105.0,9367837886.0,6846567015.0,6591610837.0,2838154641.0,6914901882.0,3507830499.0
sh.601628,18054471180.0,39323069678.0,12439840013.0,17146206724.0,50765637077.0,37835589123.0,7207235486.0,5532723177.0,6702877292.0,3714628412.0,4303950169.0,1716787261.0,4023256784.0,7054867443.0,6222938634.0,2419190040.0,22700267732.0,4686155612.0,3588728882.0,27254716274.0,3966130741.0,11852508156.0,3551276265.0,114556615621.0,21143808536.0,25598283423.0,27096423524.0,48102182957.0,4170596254.0,0.0,970617007.0,44644691907.0,64168203059.0,37578368183.0,9079517467.0,16225855083.0,4584956028.0,24530567976.0,23545323074.0,27647225452.0,25117290266.0,13053181487.0,913519657.0,6009064615.0,3990753311.0,3236754828.0,1179029414.0,3018133703.0,5211323794.0
sh.601633,16473783107.0,37795674894.0,11981756395.0,16229903334.0,49486458206.0,37414937816.0,5781379561.0,5351910295.0,5629873201.0,3631768229.0,4040744330.0,1520081206.0,4880083588.0,6883203405.0,5172327728.0,3434881089.0,21950574423.0,4228557351.0,4332696572.0,26425527891.0,4343886915.0,10941904938.0,3873605658.0,112372942685.0,20758589935.0,25586388413.0,25655189449.0,48345627251.0,3461411051.0,970617007.0,0.0,42653919422.0,62784220633.0,36464615831.0,8381656811.0,15777132194.0,4505141895.0,23916046438.0,22048953378.0,26863809190.0,23610696568.0,12112457291.0,1309603394.0,6253633266.0,4392821844.0,3792532469.0,1088899895.0,3841879159.0,3745438476.0
sh.601658,26330539302.0,19030003344.0,28977244123.0,32532800408.0,17508139331.0,8100995119.0,29380394575.0,46512189206.0,36960543348.0,40261198501.0,49184448173.0,41011382309.0,51519221795.0,20835770230.0,38888864353.0,49059592054.0,66287252016.0,42163299216.0,51293227378.0,10676856163.0,49578398690.0,33401245726.0,46793371983.0,46607704654.0,19930570138.0,56544719405.0,37667590049.0,59823724835.0,36936562900.0,44644691907.0,42653919422.0,0.0,37145191248.0,45441891449.0,41880326512.0,31354746157.0,47087593136.0,28713172655.0,27059749699.0,68683789332.0,27769084225.0,27154891996.0,43303989707.0,52107618081.0,49551594758.0,49992343789.0,41514484372.0,50427084813.0,32895479059.0
sh.601668,62767172514.0,22395438963.0,52420148259.0,42928209089.0,29454861782.0,31665420946.0,50664855128.0,61097924824.0,55878473055.0,64024343623.0,64914124472.0,61997382449.0,67310147543.0,48729194235.0,55620676267.0,66343975808.0,57765513432.0,64079280070.0,66811454055.0,26929031915.0,66923382457.0,50671020759.0,66296822759.0,42337259416.0,44547453917.0,64472405107.0,33154578763.0,57361190254.0,58741721682.0,64168203059.0,62784220633.0,37145191248.0,0.0,26604507735.0,55289817535.0,48020223106.0,62895800698.0,39131021838.0,35578453725.0,59040448220.0,66924519188.0,49897626248.0,64075416678.0,67744508352.0,66391872956.0,65825014232.0,62819920277.0,66370400958.0,55860977041.0
sh.601669,36167027287.0,22407098456.0,29119598636.0,18108972430.0,50520287750.0,35239795272.0,27719633525.0,33389449427.0,31537511518.0,38682910553.0,37564997100.0,35470611649.0,40396242153.0,36409449018.0,28030314450.0,39371153853.0,26438951470.0,38128308248.0,39944827117.0,26371661685.0,40427469498.0,25851659702.0,39056814174.0,86512287592.0,35015211390.0,32222874470.0,7091063727.0,39868024965.0,33705429785.0,37578368183.0,36464615831.0,45441891449.0,26604507735.0,0.0,26118531969.0,28467126438.0,35779550841.0,20143991536.0,16307245025.0,30437741779.0,33691564726.0,26707735408.0,37840076271.0,40681756057.0,39067140116.0,38405998096.0,36874588022.0,39445897990.0,32135915012.0
sh.601728,15531171969.0,28777739121.0,15233587537.0,14455074280.0,51156015099.0,34758501131.0,11088837322.0,6755613147.0,9547173394.0,9982001102.0,8445593649.0,9200823145.0,10450013408.0,13998046547.0,8282292593.0,9700204627.0,8809728964.0,8481117656.0,9422321166.0,24713500368.0,8051980654.0,11340056831.0,8710784644.0,109468418046.0,26245524493.0,16354437792.0,18083210656.0,42305237285.0,10619393620.0,9079517467.0,8381656811.0,41880326512.0,55289817535.0,26118531969.0,0.0,10135867883.0,7722079950.0,21340291734.0,19316045193.0,21825029796.0,23154504239.0,15489954884.0,8894550568.0,8612132100.0,8765057555.0,9563686542.0,9054652698.0,9715559340.0,7089985915.0
sh.601857,9419272883.0,23764449127.0,10510886278.0,9131816384.0,38970919073.0,23648169906.0,11694928607.0,17727078061.0,11372578839.0,12597809090.0,18526036543.0,14562684188.0,19831072745.0,13456003207.0,13877112615.0,18977516750.0,26519370088.0,10720545131.0,18797304716.0,18108705295.0,16265288813.0,7830793605.0,16680760933.0,83070295217.0,16047000337.0,17613694898.0,17579643253.0,35239080784.0,12247232820.0,16225855083.0,15777132194.0,31354746157.0,48020223106.0,28467126438.0,10135867883.0,0.0,17480837638.0,7738667557.0,12686914742.0,28629978347.0,17016062336.0,10974897105.0,16458216334.0,21331522736.0,18101012373.0,19416364701.0,14750902879.0,19338764518.0,10177185983.0
sh.601888,20256387524.0,37508348312.0,15897397876.0,17684662366.0,51620432635.0,38505403857.0,7472062813.0,1176568494.0,8439454953.0,9381247038.0,1233777346.0,5980883088.0,4246887320.0,12685223718.0,6449297499.0,3179487942.0,14605118263.0,4888732163.0,3860145331.0,28054957693.0,2748759518.0,12407022979.0,3094324559.0,119049347214.0,23918309726.0,22067963157.0,24818730514.0,48831318943.0,6634826993.0,4584956028.0,4505141895.0,47087593136.0,62895800698.0,35779550841.0,7722079950.0,17480837638.0,0.0,27094780559.0,22390714189.0,20441303563.0,28789829353.0,14842799597.0,6076149377.0,3353108346.0,1833623249.0,2106885914.0,5878467470.0,3559125672.0,3754374160.0
sh.601899,14776261929.0,15967323427.0,10336839562.0,8867296364.0,31487109089.0,14384811003.0,12888237624.0,26859871482.0,17311217711.0,19971728499.0,28249126758.0,22285654285.0,29195559318.0,12687669771.0,20317048127.0,28118409429.0,35903943099.0,20802902014.0,28529971711.0,11980368365.0,27191999375.0,11828868027.0,26579609189.0,66436359827.0,11312223178.0,36405292329.0,15875815224.0,41936977778.0,18237210894.0,24530567976.0,23916046438.0,28713172655.0,39131021838.0,20143991536.0,21340291734.0,7738667557.0,27094780559.0,0.0,6967354277.0,35247451509.0,18816359907.0,12096411188.0,24209783990.0,30836433996.0,28560050564.0,28393545973.0,22382445834.0,28684701547.0,16474858163.0
