code,sh.600028,sh.600030,sh.600031,sh.600036,sh.600048,sh.600050,sh.600089,sh.600104,sh.600150,sh.600276,sh.600309,sh.600406,sh.600436,sh.600438,sh.600519,sh.600690,sh.600809,sh.600887,sh.600900,sh.600941,sh.601012,sh.601088,sh.601166,sh.601225,sh.601288,sh.601318,sh.601328,sh.601390,sh.601398,sh.601601,sh.601628,sh.601633,sh.601658,sh.601668,sh.601669,sh.601728,sh.601857,sh.601888,sh.601899,sh.601919,sh.601985,sh.601988,sh.603259,sh.603288,sh.603501,sh.603986,sh.688012,sh.688041,sh.688111,sh.688981
sh.600028,0.0,887.2699999999999,574.6000000000001,1605.19,131.87000000000003,104.63,370.3299999999998,372.91,1827.43,2272.1800000000003,3983.5899999999997,1078.03,12187.059999999996,786.44,83936.20000000001,1200.3400000000001,10165.519999999999,1029.52,1299.9699999999998,5661.329999999999,482.9199999999999,1946.74,628.5600000000001,1018.95,109.55999999999995,2376.5299999999997,36.17,36.18000000000002,25.140000000000015,1480.5600000000002,1724.6999999999996,1044.5800000000002,91.96,54.030000000000015,81.72999999999995,21.399999999999984,111.66999999999996,3320.139999999999,556.56,386.8000000000001,232.66,102.51,2166.620000000001,1860.07,5201.299999999999,4121.319999999999,8306.359999999997,4893.790000000002,11937.000000000004,2977.38
sh.600030,887.2699999999999,0.0,300.17,716.8399999999999,755.4000000000001,991.9,516.94,514.36,940.1600000000001,1384.9099999999996,3096.3199999999993,199.55000000000007,11299.789999999999,41.12000000000002,83048.92999999998,272.59000000000003,9278.25,160.02000000000004,409.98,4774.0599999999995,367.77000000000004,1059.47,240.94,195.63000000000008,996.8299999999999,1489.2600000000002,848.1099999999998,924.13,921.1599999999999,534.3299999999999,833.4699999999998,136.4099999999999,979.2300000000001,945.2400000000002,969.0000000000001,910.9,775.6000000000001,2432.8699999999994,330.7100000000001,500.46999999999997,654.6099999999998,989.7800000000002,1279.35,972.8000000000002,4314.03,3234.05,7419.090000000001,4006.520000000001,11049.730000000001,2090.11
sh.600031,574.6000000000001,300.17,0.0,1030.5900000000001,442.7300000000002,679.2299999999998,204.27000000000007,201.68999999999997,1252.8300000000004,1697.58,3408.99,503.43000000000006,11612.460000000003,201.60000000000005,83361.59999999999,625.7399999999999,9590.919999999996,454.92,725.37,5086.729999999998,88.72,1372.1399999999996,45.59000000000001,444.3500000000001,684.16,1801.9300000000005,535.44,611.46,608.49,905.96,1150.0999999999995,469.98,666.56,632.57,656.3299999999999,598.23,462.9299999999999,2745.5399999999995,21.82000000000001,167.2,341.93999999999994,677.1100000000001,1592.019999999999,1285.47,4626.700000000002,3546.7199999999993,7731.760000000001,4319.19,11362.399999999998,2402.78
sh.600036,1605.19,716.8399999999999,1030.5900000000001,0.0,1473.32,1709.8199999999997,1234.86,1232.28,218.02000000000004,666.9900000000001,2378.3999999999987,527.1600000000001,10581.869999999997,818.75,82331.01,391.1099999999999,8560.329999999998,575.6700000000001,303.30000000000007,4056.1400000000003,1122.2700000000002,315.26000000000005,976.6299999999999,586.2400000000001,1714.75,771.3399999999999,1566.03,1642.0500000000002,1639.0800000000004,123.5,118.60000000000005,549.43,1697.1499999999999,1663.1599999999999,1686.92,1628.82,1493.5200000000002,1714.95,1048.63,1218.3899999999994,1372.5299999999997,1707.7000000000005,522.11,207.87999999999994,3596.1100000000006,2516.13,6701.170000000002,3288.5999999999995,10331.809999999996,1372.1899999999998
sh.600048,131.87000000000003,755.4000000000001,442.7300000000002,1473.32,0.0,236.5,238.46,241.03999999999994,1695.5599999999995,2140.31,3851.719999999999,946.16,12055.19,654.5700000000002,83804.32999999997,1068.4699999999998,10033.65,897.6500000000003,1168.1000000000001,5529.46,351.05000000000007,1814.87,496.69,887.0799999999999,241.42999999999998,2244.6600000000008,90.46000000000001,168.73000000000005,165.76000000000002,1348.6899999999996,1592.8300000000006,912.71,223.83,189.84,213.59999999999994,155.49999999999997,50.67,3188.2700000000004,424.69,254.93,107.44999999999997,234.38000000000002,2034.7499999999998,1728.2000000000003,5069.429999999999,3989.450000000001,8174.49,4761.919999999999,11805.130000000005,2845.5099999999998
sh.600050,104.63,991.9,679.2299999999998,1709.8199999999997,236.5,0.0,474.96,477.5400000000001,1932.0600000000002,2376.8100000000004,4088.22,1182.6600000000003,12291.69,891.0699999999999,84040.82999999999,1304.9700000000005,10270.15,1134.1500000000003,1404.6000000000001,5765.96,587.55,2051.37,733.19,1123.5800000000002,7.890000000000006,2481.1600000000003,143.7899999999999,65.69,70.73999999999998,1585.1899999999998,1829.33,1149.2100000000003,9.179999999999998,43.58000000000001,23.589999999999996,81.00000000000001,216.30000000000007,3424.7699999999986,661.1899999999999,491.43000000000006,337.29,7.080000000000006,2271.2500000000005,1964.7000000000003,5305.929999999999,4225.950000000001,8410.990000000003,4998.419999999999,12041.630000000001,3082.0099999999998
sh.600089,370.3299999999998,516.94,204.27000000000007,1234.86,238.46,474.96,0.0,17.450000000000003,1457.1000000000008,1901.8500000000004,3613.2599999999993,707.7000000000002,11816.730000000001,416.11,83565.86999999998,830.0099999999998,9795.189999999997,659.1900000000002,929.6399999999998,5291.000000000002,90.99000000000004,1576.4099999999996,258.23,648.6200000000001,479.88999999999993,2006.2,331.16999999999996,407.19,404.21999999999997,1110.2300000000002,1354.3700000000001,674.25,462.28999999999996,428.29999999999995,452.06,393.9600000000001,258.6600000000001,2949.81,178.76000000000005,19.290000000000006,137.67,472.83999999999986,1796.2900000000002,1489.7399999999998,4830.97,3750.9899999999993,7936.030000000001,4523.46,11566.669999999996,2607.0499999999993
sh.600104,372.91,514.36,201.68999999999997,1232.28,241.03999999999994,477.5400000000001,17.450000000000003,0.0,1454.5199999999998,1899.2700000000004,3610.6800000000003,705.1200000000002,11814.150000000001,413.53,83563.29000000004,827.43,9792.610000000002,656.6100000000002,927.0599999999998,5288.419999999999,99.01999999999998,1573.8300000000002,255.65,646.0399999999998,482.4699999999999,2003.6199999999994,333.74999999999994,409.77000000000015,406.79999999999995,1107.65,1351.7899999999993,671.6700000000001,464.8700000000001,430.88000000000005,454.64000000000016,396.5399999999999,261.23999999999995,2947.2299999999996,163.25,34.24,140.25,475.4200000000002,1793.7100000000003,1487.1599999999999,4828.39,3748.4100000000003,7933.45,4520.880000000001,11564.089999999997,2604.47
sh.600150,1827.43,940.1600000000001,1252.8300000000004,218.02000000000004,1695.5599999999995,1932.0600000000002,1457.1000000000008,1454.5199999999998,0.0,430.91,2156.1599999999994,749.3999999999999,10359.630000000001,1040.9900000000002,82108.77,627.0899999999999,8338.090000000004,797.9099999999999,527.46,3833.9000000000005,1344.5100000000004,85.14000000000001,1198.8699999999997,808.48,1936.9900000000007,484.0700000000001,1788.2700000000004,1864.2900000000002,1861.3199999999997,336.36,260.5800000000001,782.85,1919.3899999999999,1885.3999999999996,1909.1600000000005,1851.0600000000002,1715.7599999999998,1492.7099999999998,1270.87,1440.6299999999999,1594.77,1929.9399999999994,292.61,190.56000000000003,3373.869999999999,2293.8900000000003,6478.93,3066.3600000000006,10109.570000000003,1146.35
sh.600276,2272.1800000000003,1384.9099999999996,1697.58,666.9900000000001,2140.31,2376.8100000000004,1901.8500000000004,1899.2700000000004,430.91,0.0,1711.4100000000003,1194.1499999999996,9914.879999999997,1485.7399999999998,81664.02000000002,1071.84,7893.339999999999,1242.6600000000003,972.2099999999999,3389.149999999999,1789.2599999999998,309.20000000000005,1643.62,1253.2299999999998,2381.7399999999993,159.6500000000001,2233.02,2309.039999999999,2306.070000000001,791.6199999999999,494.88999999999993,1227.6000000000004,2364.1399999999994,2330.15,2353.91,2295.8100000000004,2160.5099999999998,1038.9599999999998,1715.6200000000001,1885.3799999999997,2039.5199999999998,2374.69,144.7799999999999,385.2700000000003,2929.119999999999,1849.1400000000003,6034.179999999998,2621.61,9664.820000000002,714.8600000000002
