code,2024-08-01,2024-08-02,2024-08-05,2024-08-06,2024-08-07,2024-08-08,2024-08-09,2024-08-12,2024-08-13,2024-08-14,2024-08-15,2024-08-16,2024-08-19,2024-08-20,2024-08-21,2024-08-22,2024-08-23,2024-08-26,2024-08-27,2024-08-28,2024-08-29,2024-08-30,2024-09-02,2024-09-03,2024-09-04,2024-09-05,2024-09-06,2024-09-09,2024-09-10,2024-09-11,2024-09-12,2024-09-13,2024-09-18,2024-09-19,2024-09-20,2024-09-23,2024-09-24,2024-09-25,2024-09-26,2024-09-27,2024-09-30,2024-10-08,2024-10-09,2024-10-10,2024-10-11,2024-10-14,2024-10-15,2024-10-16,2024-10-17,2024-10-18,2024-10-21,2024-10-22,2024-10-23,2024-10-24,2024-10-25,2024-10-28,2024-10-29,2024-10-30
sh.600438,0.0,-14773810.0,27409010.0,66016830.0,93226194.0,76245594.0,62067940.0,62067940.0,49780274.0,96681390.0,152515546.0,114203657.0,91592205.0,67829049.0,87061419.0,69573565.0,81267356.0,63640924.0,41570076.0,55295986.0,86824318.0,119463853.0,97061463.0,132987258.0,160093251.0,181523090.0,169214760.0,153773238.0,136477182.0,154554016.0,128951637.0,112079235.0,98962662.0,122881600.0,79803300.0,61386506.0,101774613.0,140057751.0,185272351.0,224019312.0,319211640.0,432113496.0,351887473.0,300411111.0,263916453.0,303286147.0,261595255.0,230934121.0,191423079.0,242832672.0,324922660.0,394314129.0,545504174.0,774357658.0,911047912.0,1171090409.0,1394789248.0,1245271723.0
sh.600690,0.0,-36285715.0,-74521464.0,-107430397.0,-84005724.0,-103037444.0,-79141139.0,-52110876.0,-79947149.0,-103970138.0,-130927678.0,-156087501.0,-188933180.0,-215948929.0,-246932379.0,-218323642.0,-166932447.0,-137568744.0,-164811637.0,-201115290.0,-234956070.0,-161997466.0,-198801711.0,-154545996.0,-112526088.0,-145512883.0,-165934694.0,-204541316.0,-233398636.0,-192307645.0,-216260681.0,-180882383.0,-140022961.0,-84952122.0,-37675525.0,-1064708.0,48340224.0,103383210.0,145479804.0,186330235.0,278567395.0,392436564.0,319978301.0,386015283.0,352478501.0,403153029.0,361658971.0,312080982.0,273946496.0,318880023.0,350100847.0,395228778.0,358295852.0,338747384.0,314779595.0,282880683.0,255072731.0,209744826.0
sh.600809,0.0,-3543914.0,5472607.0,11766619.0,19585057.0,27688037.0,22873493.0,19419119.0,16073576.0,11305945.0,6961883.0,3553440.0,7427870.0,3742297.0,849382.0,-3379752.0,-6535384.0,-10218878.0,-5967825.0,-23324960.0,-13971664.0,-3347303.0,-10260682.0,-6525970.0,-9486935.0,-6590749.0,-9093129.0,-13416434.0,-18452525.0,-15015909.0,-21836454.0,-30033962.0,-35797592.0,-24857584.0,-18509159.0,-12043653.0,1187332.0,-11039944.0,3563321.0,17953861.0,35919941.0,61007858.0,40909777.0,54872681.0,44522839.0,54061216.0,46916375.0,40637725.0,33350170.0,45402418.0,53967529.0,62138745.0,70603516.0,65738537.0,70863665.0,82159104.0,74706773.0,68401918.0
sh.600887,0.0,-29161078.0,-75734091.0,-117451056.0,-157434518.0,-106785414.0,-132270811.0,-108675084.0,-138215984.0,-164645937.0,-133005109.0,-153646693.0,-190712462.0,-235463958.0,-260831392.0,-306063387.0,-273140697.0,-311877232.0,-344762967.0,-394362719.0,-341265287.0,-496525795.0,-593856043.0,-517818538.0,-554006044.0,-514435315.0,-540394284.0,-577705436.0,-607516201.0,-575042767.0,-609039724.0,-652568856.0,-688003078.0,-615150732.0,-652838043.0,-688685966.0,-577212114.0,-478260733.0,-323717462.0,-162195851.0,91921492.0,-190177935.0,-361275390.0,-220649668.0,-304366408.0,-217914919.0,-284220263.0,-330656858.0,-389616342.0,-298451776.0,-367164333.0,-306446219.0,-237287001.0,-276009064.0,-236969176.0,-184797140.0,-246822142.0,-287516135.0
sh.600900,0.0,57775048.0,-5328023.0,-98985388.0,-31344310.0,15416163.0,-44273900.0,-95363021.0,-49199993.0,18662643.0,78552230.0,27602299.0,70400547.0,24270145.0,71461139.0,149399160.0,94787972.0,45148391.0,10087896.0,59778111.0,-7825466.0,82023870.0,155353476.0,88642688.0,128796184.0,91308776.0,51255013.0,114628249.0,56623292.0,-87326445.0,-21107306.0,59865904.0,112489527.0,182289232.0,99994054.0,147899005.0,254377656.0,372553898.0,486870241.0,298166575.0,694245069.0,231888529.0,-35036886.0,227391517.0,369981150.0,514682586.0,397569745.0,270339729.0,158245910.0,307427516.0,167799099.0,271862324.0,181582258.0,103196067.0,-47522398.0,-47522398.0,83665965.0,83665965.0
sh.600941,0.0,9036716.0,1881360.0,-8894923.0,-15508604.0,-15508604.0,-31923124.0,-43636713.0,-36489991.0,-24323118.0,-15047364.0,-20519811.0,-15191775.0,-8827068.0,-13950700.0,-7638248.0,-796879.0,5211878.0,14412858.0,20353441.0,12986884.0,-147515.0,-7056350.0,291778.0,-5195117.0,-12621721.0,-6595179.0,-14092745.0,-7097197.0,-16713098.0,-23231866.0,-15449415.0,-10410215.0,-17288769.0,-10875042.0,-16269602.0,-4499810.0,-16772038.0,-5497348.0,-33335087.0,16461094.0,61479082.0,36301328.0,62063805.0,44043716.0,62541587.0,49208185.0,40809927.0,30794973.0,43784274.0,28159014.0,6818199.0,-5393976.0,-26338570.0,-42461978.0,-30838708.0,-47331558.0,-56574893.0
sh.601012,0.0,-68235196.0,-206053227.0,-87179070.0,-168125305.0,-232028458.0,-306829452.0,-240312371.0,-171522525.0,-225218788.0,-138004374.0,-206631282.0,-260968942.0,-310754524.0,-351611153.0,-414465988.0,-376444057.0,-323466007.0,-205227295.0,-293231337.0,-168028120.0,-20668960.0,-123816398.0,-39919706.0,56963721.0,148251522.0,103181411.0,47125207.0,-10554092.0,63724659.0,172191497.0,119347351.0,63463122.0,148420445.0,14517819.0,-41340543.0,189493727.0,363446250.0,541985807.0,743112098.0,1139065498.0,1630283396.0,1296897857.0,1094388088.0,933862576.0,1103662714.0,984936426.0,872663578.0,764441962.0,946071536.0,1244322698.0,1585879995.0,2081506111.0,1799278174.0,2280213590.0,1855048202.0,1490711970.0,1697581025.0
sh.601088,0.0,-16902448.0,-38934297.0,-58010103.0,-36978103.0,-22415083.0,-11290573.0,1803423.0,-10390315.0,-1441175.0,21995423.0,35709416.0,22084159.0,8037409.0,21014037.0,31689427.0,44980577.0,56969292.0,78760749.0,62946545.0,50260145.0,28733643.0,49858031.0,30851748.0,17588948.0,-7688837.0,-24629374.0,-50883372.0,-32267852.0,-56538504.0,-32278198.0,-17701699.0,-4358769.0,-27656058.0,-6023262.0,10284581.0,44454416.0,74144073.0,102316693.0,77864007.0,173797763.0,55329362.0,-2836395.0,72703580.0,21258966.0,56225950.0,29504586.0,8492181.0,-13274169.0,23053883.0,-11850186.0,13436334.0,-15583100.0,7227270.0,-11879331.0,23669997.0,-4005364.0,-28201172.0
sh.601166,0.0,-34812573.0,-83615389.0,-131034041.0,-95184104.0,-71902402.0,-100433409.0,-121562243.0,-98790208.0,-121959890.0,-73597831.0,-37655412.0,1670445.0,-36990003.0,-79413577.0,-35341475.0,75290199.0,142230241.0,102577099.0,54509216.0,-17829780.0,-101705521.0,-155345406.0,-213341394.0,-257606584.0,-215905172.0,-175440441.0,-240756707.0,-200189521.0,-249993563.0,-211762589.0,-240007372.0,-210466014.0,-247077366.0,-189267693.0,-146542475.0,-39706476.0,87696555.0,255630208.0,169785137.0,411232835.0,655868493.0,488025994.0,645026340.0,544935865.0,688457382.0,599302339.0,732312158.0,648639553.0,743509217.0,628297376.0,570930222.0,624074754.0,661276561.0,613833897.0,549781514.0,489415771.0,431352501.0
sh.601225,0.0,21655428.0,-1670308.0,-27707808.0,-2990989.0,-20275588.0,1363206.0,18530955.0,30262455.0,19643919.0,43831718.0,64128711.0,79735511.0,57451349.0,39361584.0,21607269.0,37182895.0,19143323.0,40020494.0,22831397.0,12442428.0,47439092.0,68489950.0,49932165.0,36612070.0,18967025.0,-22990468.0,-65984274.0,-44453064.0,-76547619.0,-59855060.0,-41746229.0,-19731632.0,-39400092.0,-16981291.0,372581.0,36017765.0,78994546.0,115149828.0,95783882.0,217272699.0,84200048.0,-1380321.0,78748075.0,32892804.0,80728823.0,49511679.0,77296597.0,51871081.0,91791615.0,44096887.0,73440692.0,35951199.0,67523067.0,37269737.0,74531181.0,43383855.0,2900568.0
